,match_id,innings,score,wickets,dot_balls,boundary
0,335982,1,61.0,1,23,10
1,335983,1,53.0,1,21,10
2,335984,1,40.0,2,22,7
3,335986,1,39.0,2,25,5
4,335985,1,47.0,3,24,8
5,335987,1,54.0,1,21,11
6,335988,1,25.0,2,27,3
7,335989,1,52.0,2,22,9
8,335990,1,57.0,2,20,12
9,335991,1,56.0,1,17,9
10,335993,1,61.0,3,18,11
11,335992,1,57.0,2,21,11
12,335994,1,27.0,3,29,4
13,335995,1,45.0,3,18,7
14,335996,1,36.0,1,21,5
15,335997,1,40.0,3,21,7
16,335998,1,58.0,1,16,10
17,336000,1,45.0,1,21,7
18,335999,1,50.0,1,15,7
19,336001,1,47.0,1,19,7
20,336003,1,49.0,1,18,9
21,336034,1,46.0,1,16,7
22,336005,1,38.0,4,26,6
23,336004,1,50.0,2,19,9
24,336006,1,26.0,3,30,4
25,336007,1,34.0,3,26,4
26,336008,1,48.0,2,16,7
27,336009,1,50.0,2,14,7
28,336010,1,41.0,2,21,6
29,336011,1,50.0,0,19,9
30,336013,1,51.0,2,24,7
31,336014,1,43.0,1,18,8
32,336015,1,47.0,1,15,6
33,336016,1,50.0,3,19,8
34,336017,1,35.0,0,21,5
35,336018,1,28.0,2,22,4
36,336020,1,48.0,1,17,6
37,336021,1,27.0,3,30,3
38,336023,1,51.0,0,21,7
39,336022,1,68.0,0,19,10
40,336024,1,57.0,1,18,11
41,336025,1,35.0,2,22,5
42,336026,1,41.0,1,26,5
43,336027,1,32.0,1,25,5
44,336028,1,43.0,1,19,6
45,336029,1,23.0,2,24,3
46,336031,1,42.0,0,17,7
47,336032,1,60.0,0,17,11
48,336033,1,67.0,0,14,11
49,336002,1,41.0,0,20,4
50,336035,1,47.0,1,19,6
51,336036,1,29.0,0,25,2
52,336037,1,26.0,2,22,3
53,336012,1,36.0,2,16,4
54,336019,1,51.0,0,20,10
55,336038,1,58.0,0,18,11
56,336039,1,35.0,4,21,4
57,336040,1,42.0,1,17,5
58,392182,1,29.0,3,21,0
59,392181,1,40.0,1,16,6
60,392183,1,67.0,0,15,8
61,392184,1,17.0,3,30,2
62,392185,1,68.0,0,12,10
63,392186,1,46.0,1,17,8
64,392188,1,62.0,1,16,10
65,392189,1,59.0,2,14,10
66,392190,1,50.0,2,22,9
67,392191,1,49.0,3,20,8
68,392192,1,55.0,0,20,9
69,392194,1,44.0,2,18,5
70,392195,1,32.0,2,28,5
71,392196,1,62.0,1,18,10
72,392197,1,55.0,0,24,7
73,392198,1,42.0,3,20,7
74,392199,1,45.0,2,23,7
75,392200,1,26.0,2,22,2
76,392202,1,40.0,2,19,5
77,392201,1,37.0,2,23,6
78,392203,1,40.0,2,22,4
79,392204,1,38.0,2,21,4
80,392206,1,47.0,2,19,7
81,392205,1,39.0,2,23,7
82,392207,1,28.0,1,25,3
83,392208,1,25.0,3,25,3
84,392209,1,53.0,0,19,8
85,392210,1,57.0,0,17,9
86,392211,1,54.0,0,19,7
87,392212,1,37.0,2,27,5
88,392213,1,29.0,3,24,3
89,392214,1,57.0,1,17,10
90,392215,1,30.0,3,26,2
91,392217,1,34.0,1,20,4
92,392216,1,52.0,1,18,7
93,392219,1,33.0,3,25,3
94,392218,1,46.0,1,27,6
95,392220,1,42.0,2,19,5
96,392222,1,51.0,3,26,8
97,392221,1,38.0,2,22,7
98,392223,1,56.0,1,20,9
99,392225,1,42.0,0,18,6
100,392224,1,52.0,2,16,9
101,392226,1,37.0,2,25,4
102,392227,1,49.0,2,20,8
103,392228,1,31.0,1,23,3
104,392230,1,35.0,2,22,4
105,392229,1,39.0,3,25,5
106,392231,1,54.0,0,19,8
107,392232,1,37.0,3,19,5
108,392233,1,46.0,4,24,8
109,392234,1,50.0,1,15,9
110,392236,1,33.0,1,21,4
111,392235,1,30.0,3,31,4
112,392237,1,49.0,2,22,8
113,392238,1,52.0,0,14,9
114,392239,1,31.0,2,24,3
115,419106,1,38.0,4,28,5
116,419108,1,44.0,2,25,6
117,419107,1,69.0,1,21,11
118,419110,1,57.0,2,21,9
119,419109,1,24.0,3,27,4
120,419111,1,47.0,3,21,9
121,419112,1,50.0,0,24,7
122,419113,1,31.0,1,20,5
123,419114,1,67.0,1,14,11
124,419115,1,31.0,1,21,2
125,419116,1,52.0,1,18,10
126,419117,1,56.0,2,13,8
127,419118,1,56.0,2,16,10
128,419119,1,45.0,2,24,6
129,419120,1,47.0,2,20,8
130,419121,1,38.0,1,19,6
131,419122,1,37.0,0,27,6
132,419123,1,38.0,1,21,6
133,419124,1,53.0,1,17,9
134,419125,1,51.0,2,21,7
135,419128,1,64.0,2,12,9
136,419126,1,55.0,2,18,8
137,419127,1,50.0,2,23,8
138,419129,1,58.0,1,18,9
139,419130,1,52.0,1,23,9
140,419131,1,62.0,3,17,11
141,419132,1,48.0,2,20,5
142,419133,1,51.0,1,17,8
143,419134,1,52.0,3,20,8
144,419135,1,46.0,2,21,7
145,419136,1,41.0,1,19,8
146,419138,1,53.0,0,13,6
147,419137,1,66.0,1,13,12
148,419139,1,53.0,0,20,9
149,419140,1,54.0,2,19,10
150,419141,1,48.0,2,21,6
151,419142,1,42.0,1,22,5
152,419143,1,52.0,1,19,8
153,419144,1,50.0,0,22,9
154,419145,1,46.0,1,26,6
155,419146,1,51.0,2,12,8
156,419148,1,60.0,1,17,10
157,419147,1,55.0,1,15,8
158,419150,1,47.0,3,21,8
159,419149,1,45.0,3,25,6
160,419151,1,35.0,3,23,4
161,419153,1,22.0,4,29,3
162,419152,1,44.0,1,21,5
163,419154,1,30.0,3,23,4
164,419155,1,39.0,3,24,5
165,419156,1,43.0,1,24,8
166,419158,1,46.0,0,17,8
167,419157,1,34.0,1,21,4
168,419159,1,49.0,1,21,8
169,419160,1,38.0,2,17,5
170,419161,1,42.0,2,16,5
171,419162,1,54.0,2,22,8
172,419163,1,39.0,3,24,5
173,419164,1,27.0,3,27,4
174,419165,1,39.0,0,20,5
175,501198,1,45.0,1,18,8
176,501199,1,44.0,2,19,8
177,501200,1,60.0,0,15,9
178,501202,1,36.0,5,26,6
179,501201,1,38.0,3,23,6
180,501203,1,46.0,0,16,8
181,501204,1,30.0,2,28,4
182,501205,1,24.0,2,24,2
183,501207,1,37.0,4,21,7
184,501206,1,31.0,2,25,3
185,501208,1,41.0,1,23,6
186,501209,1,31.0,1,28,4
187,501210,1,44.0,0,23,6
188,501211,1,45.0,0,16,7
189,501212,1,48.0,1,15,8
190,501213,1,62.0,1,19,10
191,501214,1,36.0,2,19,5
192,501215,1,42.0,1,21,8
193,501216,1,43.0,1,20,7
194,501218,1,33.0,4,26,4
195,501219,1,45.0,0,20,8
196,501220,1,77.0,1,20,12
197,501222,1,48.0,1,21,6
198,501221,1,34.0,2,24,5
199,501223,1,69.0,0,19,11
200,501225,1,32.0,2,22,3
201,501224,1,56.0,1,14,10
202,501226,1,45.0,0,17,6
203,501227,1,42.0,1,18,5
204,501228,1,37.0,3,21,6
205,501229,1,20.0,3,30,1
206,501230,1,42.0,1,18,7
207,501232,1,57.0,0,16,9
208,501231,1,31.0,2,20,3
209,501233,1,34.0,2,26,4
210,501234,1,40.0,2,22,6
211,501236,1,34.0,1,19,3
212,501235,1,49.0,1,16,9
213,501237,1,35.0,1,20,5
214,501238,1,42.0,2,21,7
215,501239,1,40.0,1,23,6
216,501240,1,47.0,0,17,7
217,501241,1,45.0,1,19,6
218,501242,1,35.0,2,20,5
219,501243,1,43.0,1,19,8
220,501244,1,48.0,1,22,9
221,501245,1,15.0,2,26,0
222,501246,1,50.0,1,23,11
223,501248,1,34.0,1,19,5
224,501247,1,49.0,1,15,7
225,501249,1,51.0,0,13,7
226,501251,1,39.0,1,22,5
227,501250,1,50.0,0,13,7
228,501252,1,43.0,0,22,7
229,501253,1,42.0,2,20,6
230,501254,1,61.0,0,20,8
231,501256,1,32.0,1,19,3
232,501255,1,33.0,3,20,4
233,501257,1,43.0,1,24,8
234,501258,1,32.0,3,24,5
235,501259,1,39.0,2,21,6
236,501260,1,30.0,1,28,4
237,501261,1,41.0,2,18,6
238,501262,1,28.0,2,22,4
239,501263,1,26.0,2,22,3
240,501264,1,58.0,0,15,8
241,501266,1,23.0,4,29,3
242,501267,1,46.0,2,20,7
243,501268,1,43.0,1,22,6
244,501269,1,25.0,4,25,3
245,501270,1,68.0,0,20,12
246,501271,1,56.0,0,12,4
247,548306,1,42.0,2,18,2
248,548307,1,40.0,4,21,5
249,548308,1,30.0,3,22,3
250,548309,1,57.0,0,16,9
251,548311,1,44.0,2,18,6
252,548310,1,46.0,2,21,7
253,548313,1,38.0,2,18,4
254,548312,1,37.0,1,21,5
255,548314,1,45.0,2,18,6
256,548315,1,60.0,0,16,11
257,548316,1,41.0,2,27,6
258,548317,1,54.0,1,16,8
259,548318,1,55.0,1,17,8
260,548319,1,29.0,3,25,4
261,548320,1,45.0,0,16,8
262,548322,1,43.0,0,17,6
263,548323,1,26.0,2,21,2
264,548324,1,43.0,0,19,7
265,548325,1,19.0,2,26,2
266,548326,1,57.0,0,16,8
267,548327,1,58.0,0,14,9
268,548328,1,45.0,1,13,5
269,548330,1,41.0,0,18,6
270,548321,1,50.0,1,13,7
271,548331,1,41.0,2,18,6
272,548333,1,51.0,1,18,8
273,548332,1,41.0,1,21,7
274,548335,1,39.0,1,16,5
275,548334,1,39.0,0,18,6
276,548336,1,37.0,1,18,5
277,548337,1,28.0,2,20,3
278,548339,1,44.0,1,17,7
279,548341,1,50.0,2,16,7
280,548342,1,54.0,0,15,9
281,548344,1,46.0,0,20,7
282,548343,1,43.0,0,23,6
283,548345,1,42.0,2,19,6
284,548346,1,38.0,1,19,4
285,548347,1,43.0,2,19,5
286,548349,1,56.0,0,14,10
287,548348,1,33.0,2,19,4
288,548350,1,33.0,1,20,5
289,548351,1,42.0,0,21,7
290,548352,1,55.0,1,17,8
291,548354,1,60.0,1,14,10
292,548353,1,64.0,0,18,7
293,548355,1,52.0,1,18,7
294,548356,1,46.0,0,18,7
295,548357,1,50.0,2,16,7
296,548359,1,51.0,0,16,7
297,548358,1,35.0,1,20,3
298,548360,1,25.0,2,27,3
299,548329,1,33.0,2,24,7
300,548361,1,28.0,2,27,4
301,548362,1,66.0,0,17,9
302,548364,1,27.0,4,24,3
303,548363,1,49.0,1,20,9
304,548366,1,47.0,1,16,6
305,548365,1,45.0,1,20,8
306,548367,1,40.0,2,25,4
307,548368,1,50.0,0,17,8
308,548369,1,47.0,2,21,9
309,548370,1,32.0,2,21,4
310,548372,1,42.0,1,23,8
311,548371,1,25.0,2,26,4
312,548373,1,41.0,1,18,7
313,548374,1,20.0,4,28,2
314,548375,1,27.0,1,22,4
315,548376,1,23.0,3,23,2
316,548377,1,31.0,2,25,4
317,548378,1,48.0,1,16,7
318,548379,1,30.0,2,24,5
319,548380,1,48.0,0,15,8
320,548381,1,53.0,0,15,7
321,597998,1,45.0,2,20,7
322,597999,1,31.0,2,25,5
323,598000,1,34.0,1,20,4
324,598001,1,44.0,1,19,6
325,598002,1,41.0,2,16,4
326,598004,1,40.0,2,21,4
327,598003,1,24.0,2,22,3
328,598005,1,35.0,1,22,5
329,598048,1,40.0,1,16,6
330,598006,1,38.0,2,23,6
331,598007,1,43.0,2,18,7
332,598008,1,42.0,1,20,7
333,598009,1,44.0,1,18,7
334,598010,1,29.0,3,24,4
335,598011,1,48.0,0,20,9
336,598012,1,33.0,1,22,5
337,598014,1,34.0,3,23,4
338,598013,1,48.0,0,16,7
339,598015,1,48.0,0,18,9
340,598016,1,35.0,1,21,6
341,598017,1,43.0,1,21,7
342,598018,1,25.0,4,26,3
343,598019,1,58.0,0,20,10
344,598020,1,39.0,1,19,6
345,598021,1,36.0,1,20,5
346,598023,1,31.0,2,25,6
347,598022,1,47.0,1,17,8
348,598024,1,24.0,2,21,3
349,598025,1,48.0,0,18,6
350,598026,1,55.0,0,12,7
351,598059,1,40.0,2,20,6
352,598027,1,62.0,0,22,12
353,598029,1,61.0,1,15,10
354,598030,1,40.0,3,21,5
355,598031,1,45.0,0,18,8
356,598032,1,25.0,5,26,4
357,598033,1,52.0,1,18,8
358,598035,1,37.0,1,27,5
359,598034,1,67.0,0,16,12
360,598037,1,36.0,1,21,5
361,598036,1,55.0,1,17,8
362,598038,1,29.0,2,22,4
363,598040,1,37.0,3,25,6
364,598039,1,41.0,2,25,6
365,598041,1,36.0,1,19,4
366,598042,1,30.0,0,20,3
367,598043,1,32.0,2,21,4
368,598044,1,26.0,1,26,3
369,598046,1,32.0,0,27,4
370,598047,1,57.0,0,16,9
371,598064,1,58.0,0,16,10
372,598049,1,42.0,2,23,7
373,598050,1,41.0,0,23,7
374,598051,1,50.0,1,20,8
375,598052,1,37.0,1,18,6
376,598053,1,50.0,1,16,8
377,598054,1,40.0,2,23,7
378,598055,1,36.0,2,20,5
379,598056,1,37.0,2,22,6
380,598058,1,37.0,0,22,5
381,598057,1,22.0,1,22,2
382,598060,1,51.0,1,21,8
383,598045,1,31.0,1,20,5
384,598062,1,47.0,0,17,6
385,598063,1,43.0,1,22,6
386,598061,1,42.0,1,16,5
387,598028,1,53.0,0,18,9
388,598065,1,21.0,3,24,1
389,598068,1,76.0,1,14,12
390,598066,1,35.0,2,24,7
391,598067,1,40.0,1,18,5
392,598069,1,32.0,1,23,3
393,598070,1,47.0,0,15,7
394,598071,1,27.0,2,23,4
395,598072,1,42.0,0,21,8
396,598073,1,34.0,3,22,6
397,729279,1,31.0,1,22,2
398,729281,1,30.0,3,21,3
399,729283,1,70.0,0,19,10
400,729285,1,41.0,1,18,3
401,729289,1,31.0,2,26,1
402,729287,1,49.0,1,17,5
403,729291,1,53.0,1,19,8
404,729293,1,34.0,1,17,3
405,729295,1,43.0,0,22,8
406,729297,1,47.0,1,17,7
407,729299,1,42.0,2,17,6
408,729303,1,31.0,2,21,5
409,729301,1,55.0,0,18,9
410,729307,1,51.0,2,20,7
411,729305,1,22.0,5,23,2
412,729309,1,37.0,2,18,4
413,729311,1,37.0,2,18,4
414,729313,1,44.0,4,21,8
415,729315,1,41.0,1,23,6
416,729317,1,44.0,2,18,6
417,733971,1,43.0,1,19,7
418,733973,1,36.0,2,25,6
419,733975,1,46.0,1,14,6
420,733977,1,43.0,2,19,5
421,733981,1,46.0,2,24,7
422,733979,1,50.0,0,17,7
423,733983,1,50.0,1,22,6
424,733985,1,29.0,2,20,4
425,733987,1,38.0,2,25,6
426,733989,1,50.0,1,16,9
427,733991,1,59.0,0,20,8
428,733995,1,42.0,1,25,7
429,733993,1,52.0,1,18,8
430,733999,1,31.0,1,23,6
431,733997,1,49.0,2,20,9
432,734001,1,43.0,1,22,7
433,734003,1,42.0,0,24,6
434,734005,1,34.0,1,22,5
435,734009,1,37.0,2,26,4
436,734007,1,55.0,0,19,8
437,734011,1,52.0,1,15,7
438,734015,1,41.0,2,22,6
439,734013,1,39.0,2,20,6
440,734019,1,55.0,1,18,8
441,734017,1,41.0,0,19,6
